Year,Close
1980,148.25
1981,227.72
1982,235.83
1983,252.92
1984,271.87
1985,527.36
1986,524.45
1987,442.17
1988,666.26
1989,778.64
1990,1048.29
1991,1908.85
1992,2615.37
1993,3346.06
1994,3926.9
1995,3110.49
1996,3085.2
1997,3658.98
1998,3055.41
1999,5005.82
2000,3972.12
2001,3262.33
2002,3377.28
2003,5838.96
2004,6602.69
2005,9397.93
2006,13786.91
2007,20286.99
2008,9647.31
2009,17464.81
2010,20509.09
2011,15454.92
2012,19426.71
2013,21170.68
2014,27499.42
2015,26117.54
2016,26626.46
2017,34056.83
2018,36068.33
2019,41253.74
2020,47751.33
2021,52588.71