date, Billions of US $, % of GDP, Change
12/31/60,1.652701653,4.4632,0
12/31/61,1.688401688,4.3036,-0.1859
12/31/62,1.757701758,4.169,-0.5798
12/31/63,2.072702073,4.2805,8.4041
12/31/64,2.104202104,3.7256,-6.512
12/31/65,1.969760605,3.3075,-13.8642
12/31/66,1.9,4.1426,25.8404
12/31/67,2.022666667,4.0344,4.9561
12/31/68,2.144,4.0388,3.138
12/31/69,2.170666667,3.7138,-1.938
12/31/70,2.361333333,3.7828,31.5578
12/31/71,2.469898946,3.6672,1.052
12/31/72,2.878172458,4.0275,8.2379
12/31/73,3.59913519,4.2088,4.9635
12/31/74,4.808415668,4.8313,8.1998
12/31/75,5.560820024,5.6471,16.4488
12/31/76,6.868196413,6.6865,19.8188
12/31/77,7.754744526,6.3832,-3.5674
12/31/78,8.670273695,6.3148,7.803
12/31/79,10.32638304,6.7496,11.1542
12/31/80,11.43953983,6.1396,5.2373
12/31/81,11.48565413,5.936,-0.8169
12/31/82,12.00938899,5.9833,6.0205
12/31/83,12.74134269,5.8376,-0.9149
12/31/84,13.33075344,6.2834,7.2979
12/31/85,12.21746449,5.2546,-6.3149
12/31/86,12.93786415,5.1962,5.4324
12/31/87,15.63866291,5.6046,12.7273
12/31/88,17.89979761,6.0352,7.4731
12/31/89,20.7707173,7.0161,11.9791
12/31/90,22.63977491,7.0534,11.1044
12/31/91,22.94339807,8.4942,9.6623
12/31/92,25.48606089,8.8429,4.8932
12/31/93,27.46657824,9.8342,13.7796
12/31/94,32.36128761,9.8881,13.0437
12/31/95,39.06885979,10.844,31.3961
12/31/96,40.80302416,10.3852,6.2897
12/31/97,44.45924598,10.6907,-2.3282
12/31/98,46.42648269,11.0185,13.8843
12/31/99,52.54441065,11.4521,17.9995
12/31/00,60.87839687,12.9972,18.1535
12/31/01,60.9635255,12.5584,4.3095
12/31/02,73.452726,14.2644,21.085
12/31/03,90.8383657,14.9479,9.5822
12/31/04,126.6477194,17.8591,27.1764
12/31/05,160.8378356,19.6052,26.0851
12/31/06,199.9739224,21.2679,20.3938
12/31/07,253.0773186,20.7997,5.8665
12/31/08,288.9021516,24.0974,14.7781
12/31/09,273.7518364,20.4005,-4.8342
12/31/10,375.3534728,22.4009,19.4781
12/31/11,447.3839508,24.5404,15.493
12/31/12,448.4005433,24.5344,6.8055
12/31/13,472.1804274,25.4309,7.7924
12/31/14,468.3460376,22.968,1.7776
12/31/15,416.7878326,19.8132,-5.6471
12/31/16,439.6427878,19.1582,4.9843
12/31/17,498.2585609,18.7827,4.5553
12/31/18,538.6352015,19.8527,12.3287
12/31/19,528.2977657,18.4145,-3.5888